Date : 2024-05-23 17:29:33
Directory : /Users/zaid/Bloom/bloom/src
Total : 99 files,  5929 codes, 182 comments, 730 blanks, all 6841 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         95 |      5,722 |        174 |        698 |      6,594 |
| CSS            |          1 |        154 |          0 |         23 |        177 |
| TypeScript     |          3 |         53 |          8 |          9 |         70 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |         99 |      5,929 |        182 |        730 |      6,841 |
| app                                                                                        |         36 |      2,167 |         51 |        310 |      2,528 |
| app (Files)                                                                                |          4 |        244 |          7 |         38 |        289 |
| app/about                                                                                  |          1 |         36 |          0 |          2 |         38 |
| app/all-jobs                                                                               |          8 |        511 |         16 |         72 |        599 |
| app/all-jobs (Files)                                                                       |          5 |        338 |         12 |         56 |        406 |
| app/all-jobs/[id]                                                                          |          3 |        173 |          4 |         16 |        193 |
| app/auth                                                                                   |          1 |         34 |          2 |          4 |         40 |
| app/auth/callback                                                                          |          1 |         34 |          2 |          4 |         40 |
| app/dashboard                                                                              |          1 |         30 |          0 |          6 |         36 |
| app/faqs                                                                                   |          1 |         18 |          0 |          2 |         20 |
| app/pricing                                                                                |          1 |         20 |          0 |          2 |         22 |
| app/privacy-policy                                                                         |          1 |         58 |          0 |          5 |         63 |
| app/recruiter                                                                              |          2 |        173 |          5 |         25 |        203 |
| app/recruiter (Files)                                                                      |          1 |         22 |          0 |          6 |         28 |
| app/recruiter/post-a-job                                                                   |          1 |        151 |          5 |         19 |        175 |
| app/seeker                                                                                 |         10 |        550 |          1 |         73 |        624 |
| app/seeker (Files)                                                                         |          4 |        122 |          0 |         21 |        143 |
| app/seeker/applied                                                                         |          2 |         55 |          0 |         10 |         65 |
| app/seeker/edit                                                                            |          2 |        290 |          0 |         30 |        320 |
| app/seeker/saved                                                                           |          2 |         83 |          1 |         12 |         96 |
| app/signup                                                                                 |          6 |        493 |         20 |         81 |        594 |
| app/signup (Files)                                                                         |          1 |        143 |         16 |         23 |        182 |
| app/signup/complete_profile                                                                |          1 |         36 |          0 |         14 |         50 |
| app/signup/complete_recruiter_profile                                                      |          2 |        246 |          0 |         32 |        278 |
| app/signup/verify                                                                          |          2 |         68 |          4 |         12 |         84 |
| components                                                                                 |         55 |      3,488 |        131 |        402 |      4,021 |
| components/About                                                                           |          7 |        215 |          0 |         37 |        252 |
| components/About (Files)                                                                   |          6 |        198 |          0 |         35 |        233 |
| components/About/StatsBox                                                                  |          1 |         17 |          0 |          2 |         19 |
| components/Button                                                                          |          2 |        191 |          0 |         43 |        234 |
| components/Demo                                                                            |          1 |         55 |          0 |          6 |         61 |
| components/Footer                                                                          |          1 |         39 |          0 |          4 |         43 |
| components/General                                                                         |          4 |        543 |         56 |         69 |        668 |
| components/GetStartedBanner                                                                |          1 |         26 |          0 |          2 |         28 |
| components/Input                                                                           |          2 |         38 |          0 |          4 |         42 |
| components/Jobs                                                                            |          4 |        171 |          2 |         14 |        187 |
| components/Jobs/FilterSidebar                                                              |          1 |         65 |          0 |          4 |         69 |
| components/Jobs/JobCard                                                                    |          1 |         54 |          1 |          6 |         61 |
| components/Jobs/JobTag                                                                     |          1 |         13 |          0 |          1 |         14 |
| components/Jobs/MobileCard                                                                 |          1 |         39 |          1 |          3 |         43 |
| components/Landing                                                                         |         15 |        608 |         31 |         53 |        692 |
| components/Landing (Files)                                                                 |         14 |        506 |         31 |         39 |        576 |
| components/Landing/Hero                                                                    |          1 |        102 |          0 |         14 |        116 |
| components/Loading                                                                         |          1 |          8 |          0 |          0 |          8 |
| components/Pricing                                                                         |          2 |         77 |          0 |         15 |         92 |
| components/Recruiter                                                                       |          9 |        792 |         38 |         65 |        895 |
| components/Recruiter/Dashboard                                                             |          1 |        109 |          3 |          9 |        121 |
| components/Recruiter/Header                                                                |          1 |         82 |          0 |          6 |         88 |
| components/Recruiter/JobListingCard                                                        |          1 |         18 |          0 |          1 |         19 |
| components/Recruiter/Listing                                                               |          2 |        283 |          1 |         16 |        300 |
| components/Recruiter/RecruiterContent                                                      |          3 |        256 |         30 |         28 |        314 |
| components/Recruiter/Sidebar                                                               |          1 |         44 |          4 |          5 |         53 |
| components/SignUp                                                                          |          2 |        280 |          0 |         30 |        310 |
| components/SignUp/LeftColomn                                                               |          1 |         16 |          0 |          1 |         17 |
| components/SignUp/RightColomnSeeker                                                        |          1 |        264 |          0 |         29 |        293 |
| components/navbar                                                                          |          1 |         91 |          4 |         14 |        109 |
| components/ui                                                                              |          3 |        354 |          0 |         46 |        400 |
| lib                                                                                        |          8 |        274 |          0 |         18 |        292 |
| lib (Files)                                                                                |          1 |          5 |          0 |          2 |          7 |
| lib/CountryList                                                                            |          1 |        202 |          0 |          1 |        203 |
| lib/Signout                                                                                |          1 |          7 |          0 |          3 |         10 |
| lib/Years                                                                                  |          1 |          7 |          0 |          3 |         10 |
| lib/getAJob                                                                                |          1 |         14 |          0 |          3 |         17 |
| lib/getCompany                                                                             |          1 |         12 |          0 |          2 |         14 |
| lib/getJobs                                                                                |          1 |         17 |          0 |          3 |         20 |
| lib/getUser                                                                                |          1 |         10 |          0 |          1 |         11 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                   | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/zaid/Bloom/bloom/src/app/about/page.tsx                                             | TypeScript JSX |         36 |          0 |          2 |         38 |
| /Users/zaid/Bloom/bloom/src/app/all-jobs/DesktopViewJobs.tsx                               | TypeScript JSX |        109 |          3 |         16 |        128 |
| /Users/zaid/Bloom/bloom/src/app/all-jobs/Search.tsx                                        | TypeScript JSX |         30 |          1 |          9 |         40 |
| /Users/zaid/Bloom/bloom/src/app/all-jobs/ShowFilters.tsx                                   | TypeScript JSX |         23 |          0 |          2 |         25 |
| /Users/zaid/Bloom/bloom/src/app/all-jobs/[id]/JobDescription.tsx                           | TypeScript JSX |        132 |          4 |         10 |        146 |
